,lat,long,diameter
5,21.0,351.0,9.706684619910241
9,27.0,220.0,10.217907939900583
10,31.0,283.0,10.764051215546116
12,34.0,121.0,9.706684619910241
13,39.0,182.0,11.227230955528665
15,41.0,436.0,10.02925341359355
16,41.0,538.0,10.092530088080641
17,43.0,304.0,8.95623198216277
22,57.0,525.0,9.83698151873187
24,63.0,202.0,10.524820207108489
28,69.0,305.0,9.640875829802336
29,70.0,78.0,10.092530088080641
32,80.0,142.0,9.23618154310838
34,82.0,229.0,9.373021315815206
41,100.0,255.0,9.965574970333758
42,102.0,324.0,10.155412503859614
52,117.0,32.0,8.95623198216277
53,119.0,226.0,13.58748446131949
54,124.0,211.0,8.593479713983122
55,126.0,455.0,11.834540545406394
56,129.0,279.0,9.640875829802336
59,132.0,14.0,7.898654169668588
60,131.0,234.0,7.569397566060481
63,138.0,352.0,14.406180819073164
64,138.0,249.0,8.95623198216277
66,142.0,516.0,9.23618154310838
67,143.0,465.0,9.83698151873187
68,146.0,404.0,11.227230955528665
69,145.0,27.0,7.735777827895049
72,155.0,111.0,10.217907939900583
73,156.0,72.0,10.02925341359355
74,156.0,364.0,8.95623198216277
76,158.0,25.0,6.770275002573076
80,174.0,83.0,11.941642642883693
81,172.0,398.0,8.884866446580956
82,173.0,349.0,10.217907939900583
84,175.0,48.0,7.569397566060481
86,177.0,240.0,7.046725639945928
87,179.0,426.0,11.834540545406394
88,181.0,136.0,9.507891862878783
89,182.0,283.0,9.373021315815206
91,191.0,458.0,9.83698151873187
92,193.0,254.0,10.524820207108489
93,194.0,194.0,10.217907939900583
99,206.0,422.0,13.159049284959082
100,207.0,120.0,8.95623198216277
101,207.0,369.0,9.304852983362556
102,208.0,554.0,12.309163489997376
104,215.0,202.0,8.136857890256438
105,219.0,320.0,10.940041919714261
106,220.0,108.0,5.970821321441846
107,224.0,478.0,11.726460285670077
110,229.0,129.0,8.214724333230155
111,231.0,347.0,10.092530088080641
112,232.0,63.0,9.440697438826296
113,232.0,196.0,9.640875829802336
115,239.0,215.0,15.09668435477122
116,238.0,39.0,9.166995688475081
118,245.0,181.0,8.95623198216277
119,246.0,480.0,10.823032759612019
121,247.0,25.0,4.918490759365935
122,253.0,433.0,12.6156626101008
127,267.0,240.0,9.0270333367641
129,271.0,481.0,9.574614729634384
130,276.0,69.0,18.403307281560924
131,273.0,423.0,11.834540545406394
132,275.0,398.0,10.645107772184812
136,286.0,14.0,8.740387444736633
137,289.0,187.0,12.815923738491737
140,296.0,356.0,10.998079684646791
142,296.0,544.0,10.092530088080641
143,299.0,80.0,10.092530088080641
146,302.0,429.0,10.764051215546116
148,307.0,272.0,7.653039857325812
150,311.0,16.0,8.136857890256438
152,317.0,559.0,8.812923024107548
153,321.0,193.0,9.09728368293446
154,322.0,217.0,8.812923024107548
155,323.0,536.0,9.166995688475081
157,325.0,126.0,9.640875829802336
158,327.0,417.0,10.02925341359355
159,330.0,323.0,8.291859587312052
160,332.0,518.0,13.911592676604096
162,332.0,58.0,10.092530088080641
165,348.0,114.0,8.95623198216277
167,353.0,162.0,8.95623198216277
168,354.0,245.0,10.280023453913834
169,354.0,277.0,9.304852983362556
170,359.0,72.0,10.217907939900583
172,360.0,454.0,10.645107772184812
174,366.0,523.0,9.09728368293446
177,370.0,237.0,9.507891862878783
178,371.0,498.0,11.227230955528665
181,380.0,165.0,9.0270333367641
182,380.0,475.0,9.373021315815206
183,383.0,287.0,9.507891862878783
184,384.0,101.0,10.940041919714261
186,389.0,48.0,8.740387444736633
187,391.0,332.0,9.440697438826296
188,394.0,234.0,9.965574970333758
193,402.0,210.0,8.593479713983122
195,409.0,302.0,11.507254783503184
197,413.0,231.0,9.166995688475081
198,413.0,132.0,7.569397566060481
201,419.0,326.0,9.507891862878783
202,419.0,559.0,9.166995688475081
204,432.0,272.0,9.304852983362556
